Z	N	symbol	name	half-life (y)	spin	dipole moment (nuclear magnetons)	error (nuclear magnetons)	gyromagnetic ratio (MHz/T)	error (MHz/T)	natural abundance	error
65	159	Tb	Terbium	-1	1.5	2.009	0.004	10.209193198188421	0.02032691527762752	100.0	100.0
66	161	Dy	Dysprosium	-1	2.5	-0.479	0.003	-1.4604888626975372	0.009147111874932383	18.889	0.042
66	163	Dy	Dysprosium	-1	2.5	0.671	0.004	2.04590402269321	0.012196149166576511	24.896	0.042
67	163	Ho	Holmium	4570 	3.5	4.22	0.04	9.190669550527298	0.08711535118983223	-1	-1
67	165	Ho	Holmium	-1	3.5	4.16	0.03	9.059996523742551	0.06533651339237416	100.0	100.0
67	166	Ho	Holmium	1200 	7	3.62	0.06	3.941969641339908	0.06533651339237416	-1	-1
68	167	Er	Erbium	-1	3.5	-0.5623	0.0004	-1.2246240493510665	0.0008711535118983223	22.869	0.009
69	169	Tm	Thulium	-1	0.5	-0.231	0.0015	-3.5216380718489675	0.02286777968733096	100.0	100.0
69	171	Tm	Thulium	1.92 	0.5	-0.23	0.004	-3.506392885390747	0.06098074583288256	-1	-1
70	171	Yb	Ytterbium	-1	0.5	0.4923	0.0004	7.505205293382021	0.006098074583288256	14.09	0.14
70	173	Yb	Ytterbium	-1	2.5	-0.678	0.0006	-2.067247283734719	0.0018294223749864764	16.103	0.063
71	173	Lu	Lutetium	1.37 	3.5	2.273	0.002	4.950329831362216	0.00435576755949161	-1	-1
71	174	Lu	Lutetium	3.31 	1	1.982	0.005	15.107979780096652	0.0381129661455516	-1	-1
71	175	Lu	Lutetium	-1	3.5	2.2257	0.0019	4.847315928580239	0.00413797918151703	97.401	0.013
71	176	Lu	Lutetium	3.76e10 	7	3.16	0.005	3.4410563719983727	0.005444709449364514	2.599	0.013
72	177	Hf	Hafnium	-1	3.5	0.791	0.0009	1.7227060697789323	0.0019600954017712246	18.6	0.09
72	179	Hf	Hafnium	-1	4.5	-0.6389	0.0014	-1.0822388475730185	0.002371473449056544	13.62	0.02
73	179	Ta	Tantalum	1.82 	3.5	2.286	0.006	4.978642320498912	0.013067302678474833	-1	-1
73	180	Ta	Tantalum	> 7.1e15 	9	4.814	0.012	4.077240422770786	0.01016345763881376	0.01201	0.00032
73	181	Ta	Tantalum	-1	3.5	2.365	0.004	5.15069513909883	0.00871153511898322	99.98799	0.00032
74	183	W	Tungsten	> 6.7e20 	0.5	0.11739	0.00011	1.7896324383305209	0.0016769705104042703	14.31	0.04
75	185	Re	Rhenium	-1	2.5	3.176	0.003	9.683742438261751	0.009147111874932383	37.4	0.02
75	187	Re	Rhenium	4.3e10 	2.5	3.209	0.003	9.784360668886006	0.009147111874932383	62.6	0.02
76	187	Os	Osmium	-1	0.5	0.06442	7e-05	0.9820949116385737	0.0010671630520754445	1.96	0.02
76	189	Os	Osmium	-1	1.5	0.6576	0.0007	3.3417448716419638	0.0035572101735848157	16.15	0.05
77	191	Ir	Iridium	-1	1.5	0.1502	0.0006	0.7632756686749131	0.003049037291644128	37.3	0.2
77	193	Ir	Iridium	-1	1.5	0.163	0.0006	0.8283217975633214	0.003049037291644128	62.7	0.2
78	193	Pt	Platinum	50 	0.5	0.601	0.008	9.162357061390605	0.12196149166576511	-1	-1
78	195	Pt	Platinum	-1	0.5	0.6073	0.0007	9.258401736077394	0.010671630520754448	33.78	0.24
79	197	Au	Gold	-1	1.5	0.1452	0.0002	0.7378670245778789	0.001016345763881376	100.0	100.0
80	199	Hg	Mercury	-1	0.5	0.5039	0.0006	7.68204945629738	0.009147111874932383	16.87	0.22
